ID,Name,Country,Type_of_Content,Average_Views,Revenue,Primary_Game
gt21gquyxn38foxy2fvduo7k3nc16t1x,Matthias Lachmann,Germany,Short Form,3046,0.8,Path of Exile
ftu2gc5wi6fqjja26yfpmvxpj4hnriuu,Arthur Gabriel Dias,Brazil,LiveStreamer,233312,64.41,The Binding of Isaac: Repentance
9rbph3oasy84oo5ilwn6fky61pgh8nup,Maurycy Kawula,Poland,Short Form,225597,31.88,Tom Clancy's The Division
9lp7cm2h42sumfakatjgyq5zkae498xp,Charles Carter,United Kingdom,Short Form,25144,4.38,The Solitaire Conspiracy
v2rkqk54mw66so2suacn582ptho30vld,Kato Takashi,Japan,Blogger,245345,49.65,Universe Sandbox
4dayvseekodx3i49q1lmynglq9rs6olu,Sten van der Leek,Netherlands,Blogger,46881,10.07,Nexomon: Extinction
rxtdervcggjy6zkyrzanpvu49qssdt4x,Gilbert Seguin,France,Long Form,125359,34.93,The First Tree
78vo784kqjule4ep7cgni71ycyh09wwl,Ulla Lindén,Sweden,Short Form,53944,6.44,Yooka-Laylee
j3swebnvg5vmf60yknfu84xyjoa21a6x,Todd Hudson,Australia,Short Form,40396,7.64,Cris Tales
6gaxlkkvpjrmeyy1em30vvijvddwvb85,Jacob Harrison,United Kingdom,Short Form,13480,2.94,Pikuniku
99tmh6k1wxywwstio1k7f5oa31xydupp,Charles Pitts,United States,LiveStreamer,13378,6.57,Solar Ash
fye7lft25h8gorm3zh476egqe8dkgxrf,Jessica Ramsey,United States,Short Form,132720,34.55,Maneater
6w7tvbq2n9cwydjl1yic7tixcemsg68y,Xavier Dubois de Denis,France,Short Form,183846,17.25,Watch Dogs: Legion Standard Edition
aebi8bnq49dmxs03dsw1s6mopz24hesk,Ganga Brar,India,LiveStreamer,19049,3.3,As Far As The Eye
7xsulhnelxyb9ndz2e215mx4pm4o9sxu,Elisabeth Holmberg,Sweden,LiveStreamer,14713,5.22,Lifeslide
m82fbdgv3vqeh81unhld9brx0bh5zgfc,Helen Hall,United Kingdom,Short Form,39853,3.56,Untitled Goose Game
5bsw6f5qx6gxniojj83cu1u7ryehhhno,Tanaka Yuko,Japan,Long Form,41541,7.57,The Telltale Batman Shadows Edition
1suml1llskszcmlxtq0pr79mwa8bexmf,Ekantika Sarin,India,Blogger,233059,46.89,Unspottable
egd0xpacc771tl4cbaqxmos7rm80w6mm,Hwang Hye-jin,South Korea,LiveStreamer,871440,185.13,KID A MNESIA EXHIBITION
senvk26m35a3531qollwinu5we9l5s6h,Frances Hardy,United Kingdom,Blogger,1799124,189.97,The Longest Road on Earth
50zb7cv0essne8c57lxkff4cc96q1l9g,Antony Bryan,United Kingdom,Blogger,31639,5.2,Crash Drive 3
1m3813n8wrzbfnz21bqugz079pzbekli,Sarah Meadows,United States,LiveStreamer,165825,43.52,Sands of Aura
oa075oksnskfgqommy45lfgravfmz3lk,Robert Ortiz,United States,Long Form,13256,6.83,Tony Hawk's™ Pro Skater™ 1 + 2
4bg4w4hp5amvov4oyiz9iycr0l32u5cx,Steven Mitchell,United Kingdom,LiveStreamer,8060796,3389.5,Anno 1404 History Edition
a12j8z8do3p0amts7ynxj5yhy8n59ul5,Abraham del Pla,Spain,Short Form,5668074,1032.39,The Town of Light
fcbjgy3xmsumd58txbna1es5v30zrr8x,James Smith,United States,LiveStreamer,1858622,808.43,Warface
p5e1cyj8wbvo7dhl113dnzga3q9cgaws,Dr Brenda Hammond,United Kingdom,Short Form,141377,32.38,Jaws of Extinction
ovztnc7vgwe2lz5bp979sf93zoi0ju3g,Joseph Brown,United States,Short Form,45712,9.32,The Witness
u7mpa7dzvhltmgraejpfawxd0dl7u1p8,Yamamoto Kaori,Japan,LiveStreamer,189456,45.39,Override 2: Super Mech League
c81do6ouz1egntb34kuqaaj84rx6pryi,Stephanie Simmons,United States,LiveStreamer,375153,159.75,SMITE
9sguttfl9nejf1b2aa1qzvym63ywcmhe,Mehdi Kabus B.Eng.,Germany,Long Form,1920661,407.21,Second Extinction™
ti7zfztos6gkj71k16y0upu536lzms80,Bertold Ortmann,Germany,LiveStreamer,39819,16.18,Death Trash
50fcmalplwfxt4qfsf7q3l53zxw5ee1r,Gabriel Vasseur-Maurice,France,LiveStreamer,3351,1.65,Shakedown - Hawaii
gyij8o7w0rgzqk1snop335u3lhfm2yr6,Kim Dong-hyun,South Korea,Short Form,38192,5.8,Speed Brawl
igcopf00t5vnwb6tw8emhamz649x8ky7,Brijesh Pant,India,Short Form,12908,2.96,Genesis Alpha One Deluxe Edition
g1ms4tsrw2mdg3tja622dcff3tr7wb42,Luis Acosta,United States,LiveStreamer,163352,52.12,Yooka-Laylee and the Impossible Lair
zbppfo5mn32u1iq2bajdm5fc79m96zpx,Anna Binner,Germany,Long Form,40801,9.04,John Wick Hex
x9d7d0z11kdbchvj4p2e0b2ya51a31p7,Pero Rogner,Germany,LiveStreamer,388170,105.46,Shadowrun Trilogy
riajw44qdznx80e88r29fmsh9ycr0upp,Madeleine Huet,France,Short Form,119719,22.82,SnowRunner
7jsj8eixxgr809j8of7hnw8yle33qq54,Utkarsh Mohanty,India,Short Form,758213,137.6,Child of Light: Ultimate Edition
bj8of5qvedt5f7mjq4r00hvvs1ntb8ee,Bryan Machado,Brazil,Long Form,23996,2.84,The Hand of Merlin
8qdb9bgv2esf4ndrfdx89i8ywgd4x4pz,Casemiro Berenguer Marqués,Spain,Long Form,118719,24.04,Little Big Workshop
wcgbsvk3x8mbgl2mcxn2elalq26unvsd,Amelia Barnes,United Kingdom,Short Form,19222,5.42,Brave
lkwlq3tnpp2vpfh22cp4otn8hpby37ga,Fredi Carsten-Jessel,Germany,Long Form,12141,4.4,Farming Simulator 22
7ldhtin9y4tlwfoklbq38qi5xcpgbk0u,Cleto Carbó-Escudero,Spain,Long Form,6434,0.7,Prison Architect
cp5xi1le65a6nznhm2bvv60kxnzhpkly,Christopher Wallace,United States,Short Form,39209,6.12,Bus Simulator 21 - Modding Kit
d4bs4kut7646p9743p2kr4wg7s7dxd9q,Hayley Gibson,United Kingdom,Short Form,74588,17.48,Cartel Tycoon
ojy7uc9frroa5vk1m1f3unhhlv69cv50,Rachel James,United States,Short Form,8618,1.19,Blade Strangers
v7ar0swhcekfqnkmb5oqnrshfca6r0am,Justin Arnold,United States,LiveStreamer,65551,28.95,R-Type Final 2
m65a2y0l03hgb0vibrexv0220f0cnmu1,Mohini Sankaran,India,Long Form,472766,68.08,Horizon Chase Turbo
zz1jpahrx7bnztahy8olq54wfugeg1ju,Ewelina Zyzik,Poland,Short Form,24656,2.74,iRacing - 3-month new membership
9sbyfxywgfedfopnhtrh6r1zsy9i5oz5,Caleb Sethi,India,Blogger,5008100,448.28,Lost Words: Beyond the Page
vnui8cxgoxe6tat8x97q5d7oa8kdfmlb,Kato Kenji,Japan,Long Form,61814,6.28,The Jackbox Party Pack
6im0c3vfrnr427qxb1j6jmlbcjt2hjqv,Tanaka Takashi,Japan,Long Form,9952071,1391.29,Chorus
5lrxueagsllp7mk624ntazgliu32yx5z,Michelle Fischer,United States,Short Form,158063,43.42,Bloodroots
3dgd8opocmvh0eqt8fhu91c329hha1pj,Annette Farmer,United States,Long Form,12541,3.29,Legend of Keepers
mklds98b8nf91hnpiuxaq8flfky4ze4c,Sarah Williams,United States,Long Form,226854,73.23,Carto
tvhygqzt360amhltt7r9v0pq2lhmvfuj,Aroa Vázquez Llanos,Spain,Short Form,497499,72.11,The Escapists 2
sayrszqussjhmotoy9qjs7i58up6j3vm,Suzuki Yuki,Japan,LiveStreamer,249517,90.25,Oxygen Not Included
1pin8j2dw9f92urdwbxnupo6zhodbdzz,Ivy Chotzen,Netherlands,Long Form,619637,165.81,Riders Republic
iemtmyj014gve4ztj1km9831ax985i0h,Maud Zwijsen,Netherlands,LiveStreamer,4921225,1709.03,Lost Words: Beyond the Page
ozd0wc48omv9fja0df2bwkwdkv2ddpac,Per Sundberg,Sweden,LiveStreamer,345674,64.4,The Long Dark
v28gnuom4mdpt39nsttlh741i67ks2fj,Tabitha Ramirez,United States,Short Form,572511,106.84,Old World
jhcakzzes0l3l80z1nrwjifs8c0l5dsc,Xalak Kala,India,Long Form,2503,0.35,Phoenix Point
uca7nqm47pnd74k3wgtlvygs1dbtbpmo,Kayleigh Klein,Netherlands,Long Form,592477,239.09,BIOMUTANT
9m3l57dj1xcpxblci0etn83do9kl0nq4,Jeremy Wong,United Kingdom,LiveStreamer,978965,262.22,R-Type Final 2
pv5a2iq4k3g4arnck2sbub2iyxiwwcx8,Mr James Fox,United Kingdom,Short Form,13141,3.71,Night in the Woods
phezu7s59l5xn4unskthbahk7s4vu3ct,Mirta de Olivera,Spain,Blogger,287892,44.27,The Alto Collection
27h7ziywgh10xwbwnjplud3k7epezgeo,Paula Doherty,United Kingdom,Blogger,49643,5.91,Slipways
3lvfzr4xxn3yd0nq9l6n5l8vlshy7ai6,León Gutiérrez Fernandez,Spain,Short Form,756092,145.57,Immortals Fenyx Rising Standard Edition
hebmvcuwi9zxgzf8lcro2p36y5httnok,Sato Hiroshi,Japan,Long Form,206851,87.05,The Walking Dead: Michonne - A Telltale Miniseries
4b143gmzhf0jahz948gkhat8zj9rjftv,Josette Duhamel,France,Short Form,5511031,581.44,World of Warships
hwo0mcb9b1znyu5l90v99wctenrad58j,Hwang Ji-hoon,South Korea,Short Form,188685,20.96,Rainbow Six Siege Standard Edition
uxlq25wsmjuhkti0jmrzb9x4e4r0p5q8,Bernard Sharp,United States,Short Form,1116,0.25,Before Your Eyes
v1wryjfup7xr3ba5jxb43sm0t47ibg4k,Matthew Patton,United States,Long Form,701667,374.01,Q.U.B.E. 2
6rla810xgyxkqn8oy7gnjz2ho7dug8po,Adrian Hayes,United Kingdom,Short Form,562595,67.64,Genesis Noir
wz940vtkrrvwy3rztplc6prr7mzakgmi,Angela Patterson,Australia,Long Form,480375,157.56,Mages of Mystralia
6d1j6q6gdozf76hca955uvq0eeyeqau5,Guillaume Albert de la Roussel,France,Long Form,396075,77.55,Super Squad
vl5oropawlwnaw0yqrfef3usxqegcc9p,Nathan Sama,India,LiveStreamer,960841,236.22,Fort Triumph
pkobk4xkj53nsdu5z3umeg5pcpo8v0j0,Melina Canil,Italy,LiveStreamer,61298,13.29,Krita
simuiu6fbuwchob9t0e58uegcz17r7b8,Michael Jacobs,United States,LiveStreamer,21355,10.8,Inertial Drift
ndcu719dz11ssd49bv2hh4huhm7c42af,Jacek Krein,Germany,LiveStreamer,67973,17.02,The Witcher 3: Wild Hunt - Game of the Year Edition
grdxbln6kwmbcm4t23jsu8ceoazn7evr,Philippe Jacquet-Royer,France,Short Form,672993,77.53,Lifeless Planet: Premier Edition
bh0j2pqgy6txtud7d5tvc9xukxy7fahv,Robert Rodriguez,United States,LiveStreamer,48166,27.43,ChromaGun
mmfoh48muzg4qbxukmu16gqjwtay9vkk,Stephanie Brooks,United States,LiveStreamer,141723,22.62,Child of Light: Ultimate Edition
sekou2ch0v3zm1n5fcaxnig1rjmjecg9,Chanchal Dass,India,Long Form,527771,98.02,One Hand Clapping
l68iucsgld8mph4tbr2hpff1yulyt1n1,Muhammed van de Pol,Netherlands,Long Form,2896637,665.97,In Sound Mind
ix27ka6o1rx4nevgtdd5671kx2323ptj,Zehaan Mohanty,India,LiveStreamer,23723,3.52,Cardpocalypse Standard Edition
grz1vzu07yf03p9fr26x4ky8yfndrqja,Lars Lindström,Sweden,Short Form,79127,12.18,The Walking Dead: Final Season
ds3sb6rupkcnapprwz4qqbo2joi69hlt,Hwang Ye-jin,South Korea,Short Form,19069,3.26,Breathedge
uq6v2cn7784fim6tokj5dc1din0ihmle,Han Hye-jin,South Korea,Long Form,41650,10.86,A Monster's Expedition
7gwy9cj8s6nvci5kecgxhudrzfp9sd02,Stéphane Leduc,France,Long Form,248068,58.61,What Remains of Edith Finch
ntpbn78bmyymu5907if2gog72oy0ifzn,Daniel Gallagher,United States,Blogger,290606,39.56,MONOPOLY MADNESS
p92arwkuwgyiz07vvqimay97dt6v9n3s,Sébastien Leclerc,France,LiveStreamer,351496,115.61,Sherlock Holmes Chapter One
a8fbbc38hhk8u0s5a0dssajtnnzx3ihr,Sig. Dino Travia,Italy,Long Form,29307,3.75,Carto
shrvr2lajn55olsj60er3kjy0y7ablnl,Han Hye-jin,South Korea,Long Form,1673582,374.93,Ys IX: Monstrum Nox
jp61lfc1nlc8jpr7vgrf1hx6zdcujq6f,Mackenzie Rogers,United States,Short Form,42965,5.55,KID A MNESIA EXHIBITION
4qfgxrfu7s7s3t6l8nz5pkf8v8zvoxvf,Anabel Pardo Terrón,Spain,LiveStreamer,1386,0.25,The Legend of Heroes: Trails of Cold Steel IV
k0p77xlt2kbi72zq1nvi3mty2ry24rb8,Rachel Williams,United States,Short Form,11085,2.83,Ashen
kctq7vin5lvdo8yu98gfex6dcledo515,Jesse Weylant,Netherlands,Short Form,16454,3.74,GRAVEN
io1q9hw1o8thscwd7x2n8lytg2ol06qu,Maria Burke,United States,Short Form,59511,5.82,Unexplored 2: The Wayfarer's Legacy
spo3zdrc1yohmi9ayfquv9qezg5wzawn,Shannon Mcclure,United States,Long Form,46269,17.84,Medieval Dynasty
7eptcwfyy7zjgr9ws92s7tzys7ho6rrs,Shawn Yates,United States,Blogger,520427,68.91,Fell Seal: Arbiter's Mark
xpdzlhr69h0qu3g58k4ngosvld0my1hr,Rachel Lane,United States,Long Form,222053,36.94,Enter the Gungeon
cjmyxgk0oihme6o3wp59i1h54owo1mb0,Patrick Zamora,United States,Long Form,65718,18.16,Kosmokrats
w0sahjqur4ebz35liyum443tgj4d6dr2,Lara Pereira,Brazil,Blogger,90776,10.9,OCTOPATH TRAVELER™
qioooyauwoy3lnce01lus9xsdma6wl6z,Gabrielly Carvalho,Brazil,Long Form,143030,28.0,Genesis Alpha One Deluxe Edition
210yd3sg9og0k1prycsy0oqtyvxybegk,Jason Johnson,United States,Blogger,176245,17.93,Anno 1701 History Edition
7c34fz9dt2md6t5y7felhdzhwmak5w40,pan Marcin Kapustka,Poland,Long Form,190363,22.53,Phantom Brigade
b2qxshn3ymbrm16lucmusx2a9rchkmyu,Pedro Lucas Carvalho,Brazil,Long Form,18448,1.97,South Park™: The Fractured But Whole™ Standard Edition
axggeieasnll3drd35wv8dpi3uz0gvm1,Michael Arnold,United States,Short Form,10935,3.94,The End is Nigh
0ljc6wo7v1iz4jqi55jsyxufblpvr79y,Sr. Pedro Miguel Pimenta,Brazil,Long Form,189770,22.43,Dying Light 2 Stay Human
jzcloprbfdwc6t2989mb5zbjnqflxn73,Lisa Patterson,United States,Blogger,32159,4.85,My Time At Portia
x2scjm2jhd1h00f43zsoh4bhkgsmee5f,Kenneth Gibson,United States,Short Form,86216,9.07,Let's Build A Zoo
juw9rdcuj2ooq6kxayfvypaoebq6wvuj,Iwo Szwiec,Poland,Long Form,41350,7.77,Rogue Company
3vf02gvllsajhjxqkd8ur6tiarontdi9,Dr. Jordan Hill PhD,United States,Short Form,27040,4.76,Legend of Grimrock
bhe36w773laa6zmb2uqo5fd6meau794m,Amanda Davies,United Kingdom,LiveStreamer,18222,7.29,Flower
33zqgd98y9wu1qycaoro2dxp1pdv6gcz,Dott. Vincenza Abate,Italy,Long Form,4773,0.95,Bad North
dxigpbkfxd09wuau2z73apmrasjyxnbw,Sato Kenji,Japan,Short Form,9856690,1447.39,Phantom Brigade
30ryy3d3ujkmc31os3ly7n23znhnsqul,Richard Weiss,France,Short Form,1200,0.1,Suzerain
xrteo2t8fy620n8tteavt8k06moxsfh4,Grant Watts,United States,Short Form,453766,142.29,RiMS Racing
30w3oq5h98ch48rpbb4grijyah9mck3d,Meik Säuberlich,Germany,Short Form,98205,16.54,Sakuna: Of Rice and Ruin
7a1gdfg32sdptb4dneszrgawz894a2gk,Malin Petersson,Sweden,LiveStreamer,247728,61.76,GRAVEN
ui1qj2dbn5dqhj9dalz6770qzqt134em,James Gutierrez,United States,Blogger,15682,3.71,Dark Deception
qt3honl1z39e7rugutoo05tb1ljx3h4g,Juliana del Bárcena,Spain,Blogger,180770,23.67,Might and Magic: Heroes VII - Ultimate Edition
khg4g7nie3fkp96aiu01lc5ww9lzhvez,Albino Clavero Ríos,Spain,Blogger,248735,25.2,Absolute Drift
d7nufiigwsespy5me95xnf2jsv6ozkzm,Molly Jackson,United States,LiveStreamer,24777,6.44,Rainbow Six Siege Standard Edition
it2vqymhp9nymsorqetjdh231wcgv6lr,Helmtrud Girschner,Germany,Long Form,21300,5.19,Destroy All Humans!
v3htsllor9g8r3gvl5vjoj6q1v4i82lt,Mrs Kerry Hall,United Kingdom,Short Form,46591,7.94,Trackmania
04tywqngijykjyc8jp7rdljr8pm6lqe7,Jay Huisman-Smits,Netherlands,Long Form,9722808,2691.96,Stonefly
y281yv7ltix73p9g37wrqy3uyyj4nz07,Allison Crawford,United States,LiveStreamer,9371075,3356.96,Neurodeck
3xjwbuuz2h806m6g5g2i2dod83gwmnvb,Léo Pires,Brazil,LiveStreamer,35164,13.36,Crash Drive 3
5iej2it97blsvyyaxnrq6qbgxw4vgl8q,Stefan Gunnarsson,Sweden,Blogger,41105,9.03,KINGDOM HEARTS III + Re Mind (DLC)
30dx4ntqvnmd8iyubz9yz6v1vtixrh6k,Nakamura Hiroshi,Japan,LiveStreamer,794350,240.23,Metro 2033 Redux
46v3ujau3qwxpt9m7a5kjbajgfmnil5j,Amanda Clark,United States,LiveStreamer,6562168,2672.58,Layers of Fear 2
hc2ru8z09e4u5w49id1fkqe3nl807dvn,Pamela Santana,United States,LiveStreamer,144116,45.37,Insurgency: Sandstorm - Mod Tools & Editor
cxuent4f4v2iy2v7ds83p7i1bvlbr5o6,Jesse Farley,United States,LiveStreamer,3265158,1776.02,KINGDOM HEARTS HD 2.8 Final Chapter Prologue
yxnlqs481dxx1j11u9p83cky6n66puez,Dr Claire Akhtar,United Kingdom,Short Form,6688,1.71,Insurgency: Sandstorm - Mod Tools & Editor
o62k5tsg5gqvaugs664fn80m9eweupah,Astrid Ribeiro,France,Long Form,6214595,1575.22,Conarium
06q2vkf9oom03xlhenxq0wn1dc7k2pl9,Nakamura Hiroshi,Japan,Short Form,9145682,899.84,Mundaun
hm9wxjxfkflhyzrrs26bigapbsu2abte,Cristian Valentín Llamas Recio,Spain,Short Form,502306,45.77,Absolute Drift
2d49h84puy3cctrhu0ctd532h3yl76jw,Cody Sanchez,United States,Long Form,14275,1.49,Rainbow Six Siege Standard Edition
5pl4y4oml62gxe4wahfh2ilpbxnmynsd,Anita Ceri,Italy,LiveStreamer,4553,1.32,UNO Standard Edition
mf9l373h3cot9re8a6az55g6dcag4kf3,Achim Kroker,Germany,LiveStreamer,47640,11.96,Rogue Lords
9mi0jkkvftjd898ibq5m4tu0sgeue8vd,Hubert Helman,Poland,LiveStreamer,236042,37.69,Tannenberg
9szxup4b3kh6t85wkclh0u4ls8htjvhk,Dr Rosie Lyons,United Kingdom,LiveStreamer,516262,189.03,Ken Follett's The Pillars of the Earth
aj8g5950ntlracv1vmb6kqb7yir18606,Davi Miguel Sá,Brazil,Short Form,232893,37.06,Beyond Two Souls
3ygb0210ak9kfgx2dqzbdfw0n1tg3wqh,Pili Lumbreras Puig,Spain,LiveStreamer,722942,183.6,Lifeslide
iznxxvi1rdp1f84c3z2ljaurc0swuzja,Maria Blake,United Kingdom,Short Form,41642,12.65,Amnesia: Rebirth
4zoubm7i4rxlank09e4nxis0rnnhcg3c,Kim Jun-ho,South Korea,Short Form,380580,28.67,SuchArt: Genius Artist Simulator
