id,name,username,age,dob,email,phone,library,favorites,payment_method,country,total_hrs_played,avg_rating_given
22529aee-fa2c-47fa-a,Thierry de Denis,thierrydedenis888,22,2002-10-27,thierrydedenis888@outlook.com,+33222768584,"536,460,769,550,882,289,36,393","393,460,769",Bank Transfer,France,991.6,70.3
6b2c868b-319d-46f1-8,Anthony Montenegro,anthonymontenegro682,40,1984-11-23,anthonymontenegro682@icloud.com,+551152725596,"848,320,208,910,413,64,666,821",320,PayPal,Brazil,836.61,64.0
ab9516fa-2e00-41d5-8,Juan Rodríguez Duarte,juanrodríguezduarte924,44,1980-04-04,juanrodríguezduarte924@hotmail.com,12041580209x722,"816,566,681,661",816,Google Pay,Mexico,445.79,77.8
2c51737b-981d-4c52-8,Billy Cooke,billycooke769,30,1994-10-02,billycooke769@yahoo.com,+18456983308x97,302,302,Epic Wallet,United States,576.7,94.4
4a794686-cca2-4411-8,Ximena Gual Aramburu,ximenagualaramburu708,20,2004-07-16,ximenagualaramburu708@yahoo.com,+34984790692,"838,406","838,406",Epic Wallet,Spain,226.83,93.3
89a99046-66a4-4a33-9,Tristan Samson,tristansamson413,25,1999-01-01,tristansamson413@icloud.com,+33(0)555738078,"874,310,334,794,364,516,618",364,Bank Transfer,France,766.34,74.6
85e137f4-5073-42f4-b,Bernabé Caldera Hurtado,bernabécalderahurtado227,49,1975-04-01,bernabécalderahurtado227@yahoo.com,12889034553x067,"784,127,100,364,880,760,37","127,37",Apple Pay,Mexico,563.68,98.9
e6be9524-e98c-4bc8-9,Abhimanyu Sehgal,abhimanyusehgal596,45,1979-06-02,abhimanyusehgal596@yahoo.com,00171479218,629,629,Bank Transfer,India,862.63,57.9
eb76f51b-e51b-4fd0-8,Corona Merino,coronamerino939,21,2003-03-25,coronamerino939@gmail.com,+34883571978,"464,542,549,702,77,41,231,882,145,551","145,41,702",Credit Card,Spain,624.44,85.9
ecabed12-ba60-474e-8,Bernadette Le Lévy,bernadettelelévy702,29,1995-09-25,bernadettelelévy702@gmail.com,+33276183137,"555,178,86","86,555",Credit Card,France,182.99,55.4
9e2e019c-a548-4e0d-8,高橋 直人,高橋直人731,17,2007-04-13,高橋直人731@hotmail.com,09053575536,"25,422,267,165,897,377,628","422,165,25",PayPal,Japan,826.54,83.1
1fe90211-21a7-4c75-b,Tere Consuela Zapata Pont,tereconsuelazapatapont766,17,2007-04-13,tereconsuelazapatapont766@gmail.com,+34849948390,"407,841,423,196,234",841,Epic Wallet,Spain,189.18,50.6
779eab84-414e-4cd0-a,Ingeborg Larsson,ingeborglarsson692,25,1999-02-12,ingeborglarsson692@outlook.com,0822685940,"234,483,889,908,449,858,194,392,479","194,858",Debit Card,Sweden,127.7,81.9
fad2dbd4-5477-4010-b,Gustavo Henrique da Luz,gustavohenriquedaluz584,20,2004-02-03,gustavohenriquedaluz584@gmail.com,(041)01400628,"762,425,793,677,691,902",902,Epic Wallet,Brazil,965.76,50.4
7325cd6d-d21e-4d49-8,Anita Eriksson,anitaeriksson852,30,1994-06-15,anitaeriksson852@gmail.com,+46(0)863852297,"31,68,628,292,619","292,619",Epic Wallet,Sweden,349.66,80.2
1611cc1d-5948-42e7-b,Ing. Frithjof Hendriks B.Eng.,ing.frithjofhendriksb.eng.969,18,2005-12-19,ing.frithjofhendriksb.eng.969@yahoo.com,+49(0)582355388,101,101,Debit Card,Germany,140.73,77.2
55576e35-0abd-4c77-a,Dr Alice Sullivan,dralicesullivan613,24,2000-06-19,dralicesullivan613@outlook.com,+441414960677,"675,297,34,159,145,750,777",297,PayPal,United Kingdom,167.21,56.3
e9dc6b95-2ea9-40cc-b,阿部 知実,阿部知実505,35,1988-12-10,阿部知実505@yahoo.com,2109152306,"640,767,655,245",767,Apple Pay,Japan,867.84,95.3
1cdb4d76-5c6b-4240-8,윤진호,윤진호369,23,2000-12-26,윤진호369@icloud.com,0635403477,"578,218,312,520,742,60","578,312,218",PayPal,South Korea,520.52,90.5
b2e4b207-c7e0-4eac-a,Timothy Kannan,timothykannan58,23,2001-01-06,timothykannan58@yahoo.com,+915603043025,"619,48","48,619",Credit Card,India,718.41,61.4
dd43d441-1082-4826-a,Emily Rangel,emilyrangel98,30,1994-02-14,emilyrangel98@gmail.com,2375202532,"204,35,466,813,79,863,497,202,383,1","497,79",Debit Card,United States,249.97,72.7
f4b58da7-131d-4e2e-8,Johan Aumann,johanaumann639,27,1997-04-12,johanaumann639@outlook.com,(05100)47589,89,89,Epic Wallet,Germany,21.1,69.0
866c8b0d-4f77-469f-b,João Lucas Freitas,joãolucasfreitas965,23,2001-03-18,joãolucasfreitas965@icloud.com,+55(051)5107808,"381,337,656,783,777,490,136,5,908,706",337,Credit Card,Brazil,870.01,68.5
7dcc9da5-b927-4015-9,James Smith,jamessmith94,20,2004-04-26,jamessmith94@outlook.com,+1(107)7187046,"200,498,809,647,882,301,325,525","325,809",PayPal,Canada,993.09,81.4
4bd2b82a-6595-405e-b,Madeleine Fiebig,madeleinefiebig873,25,1999-05-06,madeleinefiebig873@icloud.com,(00387)219855,227,227,Google Pay,Germany,525.78,60.5
db59bdac-20e2-40ef-b,Francisco Javier Casanova-Tapia,franciscojaviercasanova-tapia402,45,1979-10-08,franciscojaviercasanova-tapia402@icloud.com,+34844482563,"509,572,83,769","83,572,509",Google Pay,Spain,463.66,80.0
9eeb1ac5-7fe5-4707-9,Sneha Buch,snehabuch450,19,2005-03-15,snehabuch450@outlook.com,2781685113,"462,296,161,501,743","743,501",Apple Pay,India,836.07,96.1
943b8ee1-58af-49d6-a,Sara Lundström,saralundström701,16,2008-05-27,saralundström701@outlook.com,+46(0)893505920,"746,819,256,763,589,787,806,126,616,581","256,763",Epic Wallet,Sweden,982.58,80.6
bfd19565-1777-40a3-9,Carina Karlsson,carinakarlsson229,25,1999-09-16,carinakarlsson229@gmail.com,+46(0)14532636,"703,727,768,203,395,701,87",701,Bank Transfer,Sweden,195.42,56.3
00c6e32a-89fd-46e6-a,Isabelly Siqueira,isabellysiqueira173,33,1990-12-23,isabellysiqueira173@outlook.com,(061)64562623,"595,446,853,549,846,900","446,549",Bank Transfer,Brazil,811.75,55.4
92c8f64e-4b2a-4af3-a,Rosalina Álvarez Sacristán,rosalinaálvarezsacristán148,32,1992-04-22,rosalinaálvarezsacristán148@outlook.com,+34887056484,"872,102,669,913","669,102,913",Apple Pay,Spain,73.07,84.6
dcb33546-85ab-4b23-a,Abeer Lall,abeerlall186,23,2001-03-02,abeerlall186@yahoo.com,+917678699731,"472,81,655,199,76,61","76,81",PayPal,India,15.94,87.0
48e452f3-0659-4e56-8,Edhitha Gour,edhithagour361,25,1999-01-11,edhithagour361@gmail.com,+914583985549,"728,398,292,363","292,728,363",Google Pay,India,303.56,74.0
9d29d5b9-1f3a-49cf-b,Fem de Jong,femdejong755,16,2008-02-15,femdejong755@yahoo.com,(0125)071862,"591,797,670,201,31,124,751",31,Debit Card,Netherlands,431.7,56.8
1a9642f1-14aa-4082-9,Shaurya Ghosh,shauryaghosh662,20,2004-04-09,shauryaghosh662@yahoo.com,7148114565,"44,329,301,779,510,238,548","548,329",Credit Card,India,274.63,56.1
114f8669-013e-4230-8,Jack Khatri,jackkhatri34,21,2003-10-22,jackkhatri34@icloud.com,+911868703585,"870,562,897,777,194,699,786,100,720",562,Debit Card,India,783.58,86.9
fa0c6961-92d6-474a-a,Anna Holmgren,annaholmgren355,29,1995-03-04,annaholmgren355@icloud.com,0890152836,"787,723,293,842,404",404,Debit Card,Sweden,881.81,71.5
16fb85d4-28b1-4d18-8,Chakradev Palla,chakradevpalla502,23,2001-09-06,chakradevpalla502@outlook.com,+914137114105,"257,150,865,882,391,569,636",257,Credit Card,India,293.51,66.7
05aa0ba2-7b6d-4e41-8,Morena Noguera Fernandez,morenanoguerafernandez909,22,2002-06-05,morenanoguerafernandez909@yahoo.com,+34943943921,"57,889,419",889,Bank Transfer,Spain,874.64,54.2
2870425c-2a84-458a-a,Ryan Ramos,ryanramos312,23,2001-05-15,ryanramos312@icloud.com,+61208973301,"589,410,26,69,543,623,627,152","543,627",PayPal,Australia,57.34,70.8
4379485b-ee3d-488e-b,Stefan Karlsson,stefankarlsson926,18,2006-02-24,stefankarlsson926@icloud.com,082952327,"159,184","184,159",Google Pay,Sweden,601.92,99.2
55a30d46-459f-4df4-b,Tracey Johnston,traceyjohnston616,38,1986-04-26,traceyjohnston616@outlook.com,(676)7327098x76,"192,801,574,421,369,186,469","574,421,369",Google Pay,Canada,196.7,88.8
a4a4ee52-dd24-446a-8,Maria Julia Pimenta,mariajuliapimenta206,19,2005-10-01,mariajuliapimenta206@hotmail.com,+55(051)2914224,"21,99,276","21,99,276",PayPal,Brazil,258.32,71.7
9057a65b-7188-4808-a,Georg Andersson,georgandersson938,36,1988-02-21,georgandersson938@outlook.com,+46(0)830107095,"808,627,504,470,674,776,693,723,518,448","776,693,504",Epic Wallet,Sweden,909.37,78.0
e89eac56-b83d-446e-a,Justin Fitzpatrick,justinfitzpatrick46,27,1997-07-28,justinfitzpatrick46@hotmail.com,9009562768,"450,50,662,456,858","456,450",Credit Card,United States,276.03,82.9
73e47292-cb3f-4415-a,Timothy Perry,timothyperry870,28,1996-03-23,timothyperry870@yahoo.com,(433)4276298x49,"724,374","724,374",Epic Wallet,United States,91.73,75.2
ce012e02-cf6b-46f3-8,Anne Chaney,annechaney731,22,2002-05-28,annechaney731@yahoo.com,(826)2850916x40,"550,477,745,573","745,573",Bank Transfer,United States,860.9,76.7
d0d56d46-7d24-44cd-8,Eugène Laine du Pelletier,eugènelainedupelletier119,18,2006-05-19,eugènelainedupelletier119@gmail.com,+33188192291,"314,775","775,314",Google Pay,France,598.45,99.5
67af5e0c-ff60-4f72-b,Prof. Marie-Luise Döring B.Eng.,prof.marie-luisedöringb.eng.783,42,1982-05-20,prof.marie-luisedöringb.eng.783@hotmail.com,08975056660,61,61,PayPal,Germany,942.25,79.3
7af4fc22-3086-4c62-9,Suzanne Richards,suzannerichards199,19,2005-01-27,suzannerichards199@icloud.com,(029)2018478,"132,632",132,Epic Wallet,United Kingdom,816.68,98.9
2fec2f9e-96fb-4fbc-9,Wazir Behl,wazirbehl390,18,2006-04-26,wazirbehl390@gmail.com,+910228433767,"890,854,12,842","890,12,854",Bank Transfer,India,357.78,76.8
3e628743-e964-4e0f-b,Melina Marques,melinamarques787,20,2004-06-09,melinamarques787@icloud.com,+55(081)0202001,"175,345,191,852","175,345",Apple Pay,Brazil,635.03,84.6
55fafd1a-0234-455b-a,Maria Cecília Oliveira,mariacecíliaoliveira26,20,2004-06-26,mariacecíliaoliveira26@outlook.com,7140720208,"478,892,600,9,578,590,107,140","140,600",Credit Card,Brazil,738.71,87.7
c2182f96-51cc-4724-a,Mr Leslie Ellis,mrleslieellis643,20,2004-11-16,mrleslieellis643@icloud.com,+441174960710,"408,784,225,638,72,597,154,681,775","408,638",Credit Card,United Kingdom,43.32,62.8
8227269b-21e4-4300-8,Edmund Neureuther,edmundneureuther90,23,2001-09-20,edmundneureuther90@yahoo.com,0431913580,"816,86,618,167,679","167,816,679",Apple Pay,Germany,149.31,78.4
a07bd8f1-7961-422c-8,Pamela Jones,pamelajones38,18,2006-06-28,pamelajones38@gmail.com,(630)9225212,"839,390,143,308,529",390,Google Pay,Canada,881.15,53.8
c2839bfc-43e4-439b-a,Riya Tiwari,riyatiwari818,20,2004-04-09,riyatiwari818@outlook.com,+914550305379,"146,888,463","463,146,888",Credit Card,India,617.62,59.3
d847cd65-e279-49ee-b,Chris Morgan,chrismorgan394,45,1979-08-07,chrismorgan394@yahoo.com,(350)7346208x33,"216,66,310,377,359",66,Epic Wallet,United States,946.24,66.9
21351798-af4c-4fb2-a,Annika Johansson,annikajohansson553,27,1997-09-19,annikajohansson553@gmail.com,0848152272,"289,703,225,415,136,298,279,137,478",289,Apple Pay,Sweden,870.34,94.9
5674552f-cacf-42b4-9,Cándido Hernando-Badía,cándidohernando-badía556,31,1992-12-08,cándidohernando-badía556@outlook.com,+34902958336,"123,358,517","517,123",Credit Card,Spain,91.07,82.6
18214d84-8619-40cb-8,Alexandria de Aubry,alexandriadeaubry719,35,1989-01-03,alexandriadeaubry719@outlook.com,+33807788760,863,863,Bank Transfer,France,588.68,95.1
74d63fac-8cdf-47ac-9,Anna Olmo Rojas,annaolmorojas417,19,2005-06-09,annaolmorojas417@gmail.com,+34873998884,"168,337,841,351","168,841,351",Credit Card,Spain,500.75,96.3
691de7d1-2a0c-4619-b,Anthony Michael,anthonymichael578,29,1995-09-02,anthonymichael578@gmail.com,+61454358804,"673,528,285,601,742,524",285,Bank Transfer,Australia,157.03,64.9
b2aff03f-7abe-45e2-b,Benjamin Sandoval,benjaminsandoval635,25,1999-01-04,benjaminsandoval635@yahoo.com,647.041.3295,"682,444,575,77,8,602,885,306,30,12","30,444",Google Pay,Canada,526.29,99.1
be5e9ce7-ce02-4d9d-b,Pedro Gonzalez,pedrogonzalez634,24,2000-08-26,pedrogonzalez634@hotmail.com,3180.3473,"31,807,147,703,250,71",71,Bank Transfer,Australia,847.06,84.6
7c4c3490-e0ac-4054-a,Luan Casa Grande,luancasagrande133,20,2003-12-26,luancasagrande133@gmail.com,09009420368,"320,792,179","320,792",Bank Transfer,Brazil,786.44,84.0
29ff9657-3ccb-41e6-8,Dion Wildschut,dionwildschut526,19,2005-10-12,dionwildschut526@icloud.com,+31394521175,348,348,Bank Transfer,Netherlands,786.56,88.7
1501bd55-0976-419c-a,João Ramos,joãoramos583,30,1994-08-15,joãoramos583@icloud.com,(081)60996164,"843,866,827,288",866,PayPal,Brazil,463.99,92.5
da75800c-f60b-40de-8,Cecília Macedo,cecíliamacedo753,25,1999-04-11,cecíliamacedo753@icloud.com,+55(051)0698547,"533,769,404,479,725,477,22,82,858","404,725,533",Bank Transfer,Brazil,357.77,51.4
3a601908-7cd9-4be5-8,Stacey Higgins DDS,staceyhigginsdds100,19,2005-08-18,staceyhigginsdds100@gmail.com,7226357650x7291,"395,706,29,719,640,103","640,706",Credit Card,United States,132.39,96.7
34aa4472-52f3-43fd-9,Daniel Chauvet,danielchauvet76,16,2008-08-05,danielchauvet76@outlook.com,+33(0)473254560,"663,701,263,799,686,713","701,686,663",PayPal,France,773.61,86.4
5096431e-bfd8-45de-a,Mr Thomas Wheeler,mrthomaswheeler627,19,2005-03-18,mrthomaswheeler627@gmail.com,(01632)960741,"411,597,239,387,824,754,311,79,188,493",411,Epic Wallet,United Kingdom,53.01,86.4
13028ee2-99dc-4213-a,Apollo Mendes,apollomendes650,24,1999-12-19,apollomendes650@icloud.com,+55(011)7318123,"838,512,468,616","468,616,838",Google Pay,Brazil,212.95,85.6
32543b5c-da57-464a-b,Christine Shelton,christineshelton366,21,2003-08-24,christineshelton366@gmail.com,882.810.9410x68,"483,780,40","483,40",Epic Wallet,United States,637.69,86.0
1310ec5e-efba-418e-a,Wayne Lynch,waynelynch703,18,2006-06-08,waynelynch703@outlook.com,(03).4529.9403,"784,49,821","821,784",Credit Card,Australia,498.51,80.4
700d4785-dec5-4304-9,Laureano Ammaniti,laureanoammaniti119,23,2001-10-10,laureanoammaniti119@yahoo.com,38366383598,"2,624,587,885,381,251","381,885,251",Google Pay,Italy,187.39,64.0
58b34fb9-9e05-4767-a,Zbigniew Karz,zbigniewkarz131,19,2005-03-04,zbigniewkarz131@outlook.com,+49(0)635118754,"829,202,276,705,809,799",276,Bank Transfer,Germany,927.9,60.0
767a228c-8b83-49ec-b,Tyler Pollard,tylerpollard78,21,2003-08-15,tylerpollard78@outlook.com,8534386940,"329,906,37,879,876,2,429,324","429,906",Google Pay,United States,976.66,70.3
e2f33c20-c4ee-4a90-a,Gary Hunt,garyhunt479,19,2005-05-09,garyhunt479@outlook.com,+1(718)8132610,620,620,PayPal,Canada,396.89,58.2
078263e4-4ea7-415d-9,Marcelle Alexandre du Neveu,marcellealexandreduneveu900,32,1992-09-05,marcellealexandreduneveu900@icloud.com,0368475393,"552,19,854,780,904,91,170","854,780",Credit Card,France,480.63,62.3
9cc06a3f-5903-4375-a,Nicolaus Steuer,nicolaussteuer756,26,1998-01-27,nicolaussteuer756@hotmail.com,+49(0)435156395,"774,221,281,383,564,382,63,518","383,382,518",Debit Card,Germany,471.81,89.6
be7ce265-5516-4eb7-9,Erick Vieira,erickvieira508,28,1996-03-18,erickvieira508@hotmail.com,8169743518,"466,345,93,514,490,542","345,490",Epic Wallet,Brazil,547.23,83.5
50b536b3-139d-4154-a,Heather Edwards,heatheredwards476,32,1992-09-06,heatheredwards476@yahoo.com,01174960165,"291,354,396,800,111,256,769,607,810,905",810,PayPal,United Kingdom,746.23,56.1
573b2d06-f9bd-4c56-a,Maarten Kuilenburg,maartenkuilenburg872,48,1976-02-23,maartenkuilenburg872@gmail.com,+31956933512,"39,479,684,338,193",338,Google Pay,Netherlands,678.97,68.8
338be479-925c-4712-b,Scott Banks,scottbanks10,27,1997-07-04,scottbanks10@hotmail.com,+1(809)5152363,"214,171,830,885,363,106",830,Bank Transfer,Canada,294.58,95.3
a725cf24-affc-411d-8,Adoración Chico-Pardo,adoraciónchico-pardo744,17,2006-12-14,adoraciónchico-pardo744@outlook.com,+34971547104,"532,209,318","318,532,209",Debit Card,Spain,867.56,99.0
53bf97e9-733e-4d1e-b,Enzo Gabriel Novais,enzogabrielnovais677,22,2002-06-01,enzogabrielnovais677@outlook.com,2192847154,"389,175",389,Debit Card,Brazil,225.18,72.7
9d566754-7c8b-438f-9,Owen Anderson,owenanderson980,35,1989-06-24,owenanderson980@outlook.com,(0306)9990961,"123,298,206","298,206",Epic Wallet,United Kingdom,97.01,80.2
413d255e-b223-4c05-9,Emily Adkins,emilyadkins893,30,1994-06-05,emilyadkins893@hotmail.com,+61267536348,"841,756,780,731,793,505,682",756,Bank Transfer,Australia,402.33,89.3
b6ca7436-a1e7-4a9a-8,Flora Lindau,floralindau149,20,2004-03-27,floralindau149@yahoo.com,+49(0)277728368,"825,612,560",560,Google Pay,Germany,32.59,54.7
f5b2b92b-9ac5-4f28-b,Miss Amanda Adams,missamandaadams882,19,2004-12-25,missamandaadams882@hotmail.com,+44(0)151496056,159,159,Apple Pay,United Kingdom,803.02,90.0
9719bfaf-7889-41ad-8,Timo Leene,timoleene166,22,2001-12-10,timoleene166@yahoo.com,(0038)823405,"635,282,163,194,757,160,872,486,132","132,282,194",Apple Pay,Netherlands,848.19,86.1
d20dd7ce-7a1d-4995-8,Marco Udinesi,marcoudinesi632,30,1994-05-10,marcoudinesi632@gmail.com,034364032,"568,174,538,31,741","568,174,31",Bank Transfer,Italy,912.52,82.1
b379e808-c095-4fca-9,Carolina Silveira,carolinasilveira563,24,2000-11-11,carolinasilveira563@gmail.com,+55(061)1382717,"753,322,292,904,642,488,225",488,Bank Transfer,Brazil,93.63,60.8
8f945263-dc26-4670-a,Leif Gunnarsson,leifgunnarsson922,36,1988-06-23,leifgunnarsson922@gmail.com,0870592666,"116,5,39","116,5",Credit Card,Sweden,245.86,85.8
b0408cc5-46e2-4155-9,Julia Palmer,juliapalmer30,23,2001-09-02,juliapalmer30@hotmail.com,(0114)4960009,"314,372,126,740,787,615,89,439",372,Google Pay,United Kingdom,836.7,90.0
ff20655d-8c48-4c1b-9,Ronald Harrington,ronaldharrington75,20,2004-05-10,ronaldharrington75@hotmail.com,1384.1240,"350,485,604,70,716,89","70,716,89",Epic Wallet,Australia,94.67,99.7
c0f8115a-4e39-45fc-a,Gonzalo Juan Conde,gonzalojuanconde944,19,2005-09-07,gonzalojuanconde944@icloud.com,+34945119226,"139,532,441,773,515,119,573",773,Debit Card,Spain,44.21,83.4
10e91b11-611e-4caa-9,Kyano van Vermandois,kyanovanvermandois969,18,2006-03-17,kyanovanvermandois969@hotmail.com,0115990424,"459,518,195,590",518,Bank Transfer,Netherlands,694.32,93.1
8283bdd9-25b5-47fc-9,Louis Bertin-Sauvage,louisbertin-sauvage107,30,1994-11-15,louisbertin-sauvage107@hotmail.com,+33(0)169531962,"13,539,218,582",539,Credit Card,France,572.31,68.6
1f448589-6dc5-453c-9,김보람,김보람171,25,1999-04-04,김보람171@icloud.com,0630875981,"688,539,884,374","374,884",Debit Card,South Korea,913.93,68.1
eb9bec77-0c51-4d4d-b,Angelica Riggs,angelicariggs455,22,2002-01-10,angelicariggs455@yahoo.com,+61216614153,"211,642,71,518","211,518,71",Bank Transfer,Australia,988.22,52.6
6b0a9866-cafc-4e6d-8,Carlos Eduardo Araújo,carloseduardoaraújo223,28,1996-01-22,carloseduardoaraújo223@gmail.com,(031)28324074,"527,438,497,269,885,199,344,196","527,497,269",Credit Card,Brazil,950.15,62.8
84dcdaef-6bf2-4e1b-a,Jagvi Batra,jagvibatra311,19,2005-04-08,jagvibatra311@outlook.com,+915963264837,"758,293,10,847,96,174","10,293,758",Bank Transfer,India,81.6,78.7
3129c023-74c0-4eed-b,Pooja Basu,poojabasu667,25,1999-03-20,poojabasu667@gmail.com,1918750626,516,516,Debit Card,India,518.93,78.8
7f72850f-4132-406c-b,Lic. Luz Mata,lic.luzmata86,20,2004-03-06,lic.luzmata86@yahoo.com,18495685311x601,"226,414,575,586","586,226,575",Credit Card,Mexico,395.54,70.3
c3a73399-4652-4967-8,Chantal Allain,chantalallain771,15,2008-12-02,chantalallain771@outlook.com,0359026831,"402,594,773,65,168,647,854,155,701",594,Bank Transfer,France,545.22,63.0
4f742620-1b4f-4e44-9,Alina Mazzacurati,alinamazzacurati269,48,1976-06-15,alinamazzacurati269@outlook.com,0577094677,"845,744,574,121,176,383,778,887,171","121,744",Epic Wallet,Italy,69.9,56.4
a8044203-484b-46a0-a,James Robinson,jamesrobinson9,20,2004-09-04,jamesrobinson9@yahoo.com,(613)5010437x66,"439,649","439,649",Epic Wallet,United States,691.29,96.3
8221daf1-b18e-426b-b,Patrick Santiago,patricksantiago35,20,2004-10-04,patricksantiago35@yahoo.com,0015696265154,"169,894,706,430","706,430",Google Pay,United States,610.24,89.1
a7e4c1e3-a284-4f96-8,Matteo Pastor,matteopastor203,24,2000-08-11,matteopastor203@gmail.com,(061)85033599,285,285,Debit Card,Brazil,358.95,83.8
51b0c77a-476b-4f8b-a,Stacy Hill,stacyhill595,23,2001-05-27,stacyhill595@hotmail.com,9513693721x623,"43,406,331,369,681,140,187,687",43,Debit Card,Canada,824.12,68.3
3ea8ce99-10ba-453d-b,Joe Trujillo,joetrujillo470,38,1986-09-25,joetrujillo470@gmail.com,(157)0302895,"633,259,156","259,156",PayPal,Canada,607.7,72.1
fb9509a2-a91e-47d6-9,Ivonne Abelardo Segovia Guardado,ivonneabelardosegoviaguardado644,18,2006-04-25,ivonneabelardosegoviaguardado644@hotmail.com,13378679559x685,"641,734",734,Epic Wallet,Mexico,177.97,75.6
b06e7652-5098-43a6-b,Celestina del Ortuño,celestinadelortuño573,46,1978-03-16,celestinadelortuño573@gmail.com,+34920247050,"720,634,852,861,833,912,729,174","720,174,634",Credit Card,Spain,441.21,76.3
2d6a4fdf-93b3-4467-b,Jack Bryan-Brown,jackbryan-brown603,19,2004-12-21,jackbryan-brown603@gmail.com,+44(0)115496024,"775,211,162,458,259,119,654","458,775",Epic Wallet,United Kingdom,785.59,94.6
c658c07e-bb2b-4928-a,Melvin Burke,melvinburke661,23,2001-10-20,melvinburke661@yahoo.com,+61780479482,"406,769,149","149,769,406",Epic Wallet,Australia,799.9,98.2
68dd95e3-63cd-49e3-8,Isabelle Rocher,isabellerocher515,27,1997-11-05,isabellerocher515@gmail.com,0230459602,"541,75,313,104,414,798","541,414,798",Credit Card,France,483.46,78.0
6d0633c0-e706-45ea-a,Bertil Persson,bertilpersson662,29,1995-08-24,bertilpersson662@gmail.com,083474806,588,588,Debit Card,Sweden,176.09,88.5
94259090-168d-4e63-b,Bianca Harrington DVM,biancaharringtondvm815,15,2008-12-02,biancaharringtondvm815@hotmail.com,371.771.6771x97,"386,310,804,169,373","804,169",Google Pay,United States,848.83,52.2
c08dd34e-c1ea-43ec-8,Ian Doyle,iandoyle957,20,2004-03-18,iandoyle957@gmail.com,(0191)4960051,"794,496,730,175,67","496,794",Debit Card,United Kingdom,766.06,99.6
9d96bc8b-c040-455e-a,Bettina Randazzo-Argento,bettinarandazzo-argento776,27,1997-08-04,bettinarandazzo-argento776@outlook.com,+3937925718472,"571,537,255","255,571,537",Bank Transfer,Italy,940.98,59.8
